id,name,anchors,color,is_anchor,anchor_id,confidence
[HUB44-A],Tashat,"{"A": 0, "B": 1473, "C": 1136, "D": 1368, "E": 946}",yellow,true,A,0
[HUB45-A],Nasfiel-Nit,"{"A": 1473, "B": 0, "C": 1127, "D": 1134, "E": 1016}",yellow,true,B,0
[HUB17-A],Ochleac,"{"A": 1136, "B": 1127, "C": 0, "D": 1848, "E": 1043}",yellow,true,C,0
[HUB25-A],Snezhna,"{"A": 1368, "B": 1134, "C": 1848, "D": 0, "E": 1390}",yellow,true,D,0
[HUB21-1E],Sidusius,"{"A": 946, "B": 1016, "C": 1043, "D": 1390, "E": 0}",yellow,true,E,0
[HUB12-63],Suzance-Doled VII,"{"A": 1339, "B": 1276, "C": 1591, "D": 947}",yellow,false,0,0
[HUB12-B4],Orgeisa-Legze,"{"A": 1344, "B": 1268, "C": 1575, "D": 968}",blue,false,0,0
[HUB12-FA],Epoteu-Oraj,"{"A": 1348, "B": 1255, "C": 1575, "D": 955}",red,false,0,0
[HUB12-FD],Anesterbo I,"{"A": 1330, "B": 1265, "C": 1579, "D": 944}",green,false,0,0
[HUB12-402],Totnew-Enze,"{"A": 1368, "B": 1298, "C": 1661, "D": 887}",purple,false,0,0
[HUB2-C],Birche-Nedice,"{"A": 860, "B": 969, "C": 673, "D": 1328}",yellow,false,0,0
[HUB2-1A6],Eaderi-Mulus,"{"A": 890, "B": 958, "C": 672, "D": 1335}",yellow,false,0,0
[HUB3-47],Botnoya,"{"A": 900, "B": 950, "C": 683, "D": 1326}",yellow,false,0,0
[HUB3-3EA],Kekuereri IV,"{"A": 914, "B": 979, "C": 721, "D": 1327}",purple,false,0,0
[HUB3-14D],Okortak-Ayos,"{"A": 916, "B": 960, "C": 737, "D": 1301}",green,false,0,0
